CREDITCARDKEY,CREDITCARDID,CARDTYPE,CARDNUMBER,EXPMONTH,EXPYEAR,MONTHEXPIRATION,CARDSTATUS,EXPIRING3MONTHS,CREDITMODIFIEDDATE,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
8194,7662,Vista,11113700418875,1,2005,-247,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,8d7617f3fbf2644b8f696738c67166b190747485c6b2fb103bf6fc0a44c1497e
8195,7663,Distinguish,55557369602705,5,2008,-207,Expired,Expired,2013-11-09 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,ddf12f390be1d859c251561dc4a7eeb9e9f578fe8f392c4747837d688e6045d3
8196,7664,SuperiorCard,33334422075063,2,2005,-246,Expired,Expired,2013-12-07 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,baf4ba0da6cc535899cc65d852f5adab55a8df08264b6a638284d54c721e3d59
8197,7665,Vista,11119008336336,11,2005,-237,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,10dd7554444c8cd18ecd53987878d383412e3bc58d0d2f2043a3b3da98f2679e
8198,7666,Distinguish,55556598147813,7,2006,-229,Expired,Expired,2012-11-05 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,f6b4286ce4a9f3630ec8f22dbd633908e7df7ca4e750dd39b1caba5214f3e43c
8199,7667,Vista,11115679979311,9,2005,-239,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,e6fe6b6d69d3eacc2b1edb2adceac6dbc5ded111aac2570467db7a14420cc9e7
8200,7668,Vista,11113132081797,7,2007,-217,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,481683cae4e8bf48df95352976c0721d83926c5d3fb5313607e7f47c59f6d8e7
8201,7669,ColonialVoice,77772260959745,1,2006,-235,Expired,Expired,2014-01-12 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,6b330e7ba9e03b45f9f047ffb9900797b7ac3972f2b7569accfb1dab0b827aed
8202,7670,SuperiorCard,33331482188523,1,2005,-247,Expired,Expired,2014-05-15 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,3b46145cba718852a46e18a24049fc9c736383c985a7ed9d360be1b57537484e
8203,7671,Distinguish,55558002690672,10,2006,-226,Expired,Expired,2012-07-03 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,137d4842e0755130ae923d3fdc521d61e920f1495f83afea7a15ffeaa8ff4850
8204,7672,ColonialVoice,77774754346398,5,2006,-231,Expired,Expired,2013-06-30 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,5714d0ffd40bc92a749c1913b822cd9f5ba25a7e6dafb2212b829a4049691d79
8205,7673,Vista,11113647959848,1,2007,-223,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,7a5a15f00f5226f5d0c7feb7ca870b2287286ea2b8db3ddd5ede6d10cae26942
8206,7674,SuperiorCard,33333224175380,10,2007,-214,Expired,Expired,2012-12-03 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,6b8e5e76be4c5dbfbefc74e9c290ab0cec99e3505f5591184c81d5424697b677
8207,7675,Vista,11116124495122,4,2007,-220,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,d767752f07e64cd14b76fbc4d389feafb537905c78d1982ab514352003456d44
8208,7676,ColonialVoice,77773419872154,4,2008,-208,Expired,Expired,2014-02-26 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,c3ddebcc5c88babbce8b0554a9c43f9138e1da8009e904464723acc3ce44bd61
8209,7677,SuperiorCard,33335296781812,8,2008,-204,Expired,Expired,2014-04-12 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,3acbf6148845862f8a0612334c03a5493ac84bb20b76e6deac81a8cf4806bd6f
8210,7678,Distinguish,55553134711637,5,2007,-219,Expired,Expired,2012-04-11 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,0277f183034d92c2da344c222eef8eb7653c0149af6b3e6eaeb4cc234b0a51c6
8211,7679,SuperiorCard,33334837911819,8,2008,-204,Expired,Expired,2013-12-20 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,e271cb289b6077e0fd9a024673275ceb2f4f4e2c8031a6482cbf4c3262c37924
8212,7680,ColonialVoice,77774075222564,12,2007,-212,Expired,Expired,2013-06-25 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,b19a579d725147f51636f86711963734d491023a40570dd919a185898700c04b
8213,7681,ColonialVoice,77777920594831,2,2007,-222,Expired,Expired,2013-12-08 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,758b0d5fc6d644850276a3c631903d912a3c1a559d5a3b4aafd7f936b9fe0c34
8214,7682,ColonialVoice,77775111939012,6,2008,-206,Expired,Expired,2011-07-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,308ebd9e56bf190e65ff0ec21ae4b4fd2e87906f102a309610515c0719d1c2a8
8215,7683,Distinguish,55559355426862,4,2007,-220,Expired,Expired,2013-01-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,841d73e4f381a48ec13b33580f9e5a94e768451ad4c67810ad333ce4cdcdccd3
8216,7684,ColonialVoice,77775210341361,6,2007,-218,Expired,Expired,2013-08-23 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,7dc40a563fe6ebea9990685815cf2ab187a2ffee65faecd5d198b5b4d9378430
8217,7685,Distinguish,55558008773750,5,2005,-243,Expired,Expired,2014-05-02 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,2cdeee076be77ac6ffd3fd3ea4d5cf0ba86f5a7a3f161c0b137220f9426500c3
8218,7686,Vista,11115767080689,4,2005,-244,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,2d92e44f44715876cf43a37d99fa49f7c1ef603cd3f506a41fa2f433de477f3f
8219,7687,SuperiorCard,33337663455460,11,2008,-201,Expired,Expired,2013-07-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,8f8e9d11421f69d1438ca6b40d667283a5f85060d3801a3fe576a9427944e3cf
8220,7688,SuperiorCard,33332277958194,6,2005,-242,Expired,Expired,2013-08-17 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,d1fe10e63c2c932ff466a5b95742c22e649d45b1f3bacd3bdee6e18fcc0dc39d
8221,7689,Vista,11112240142189,2,2005,-246,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,64b72966cda211e71a2ee9eddce256cf72b9b4fad033e50d73e6e95fff7a4fb6
8222,7690,ColonialVoice,77774645323013,7,2007,-217,Expired,Expired,2013-01-18 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,5e4faef3d8a46681b6fd7065a84a2e0c471157651a843c5226da5e711c80c5ee
8223,7691,Distinguish,55557906665132,3,2008,-209,Expired,Expired,2014-01-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,73f551d4e6f2c9561759241aeaf0ff699588f133f95f8da477a3f7a18bdfbbf7
8224,7692,ColonialVoice,77779885267745,9,2005,-239,Expired,Expired,2012-08-12 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,db9d9c8ae566c425b9b3eea74c462a7ff078f6af2e36345caaaa0e462e70b549
8225,7693,Vista,11116764675255,12,2006,-224,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,f5891841e04a358223a3e3c511646b1cd5b16c1ceaf50388505ed37bd38dae2d
8226,7694,SuperiorCard,33338240430160,7,2006,-229,Expired,Expired,2013-10-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,e1e318a8451b390d160f213e449e44abc405843241eaf7bf25dec77addc1c90a
8227,7695,Vista,11112554996842,10,2008,-202,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,9bdf96069a8c6502b31df592ab04e7a19ba161108c9e64b2204b5d22f8e32f48
8228,7696,Distinguish,55552598316037,3,2008,-209,Expired,Expired,2013-09-24 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,017dc226c1fbcba9edc107b3becca63f2b416390961fa58a17e68eef33a970d2
8229,7697,ColonialVoice,77779635407218,7,2005,-241,Expired,Expired,2014-05-28 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,b3b96b1f144bded0cbfa7e8d7329889dcac85956907c21733e43ff8ed3c15e5d
8230,7698,SuperiorCard,33335901879084,12,2006,-224,Expired,Expired,2013-10-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,2baca4ba5b05f7e118c3dbd1e722eff27ba23e4d531bf0d4d45d7a2debeffced
8231,7699,SuperiorCard,33334165719637,4,2006,-232,Expired,Expired,2013-09-02 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,dbe502bb8d190036cbd2f8eb7233ce0988a3c48f761079772f63a10d1c4221de
8232,7700,Distinguish,55556692584711,5,2005,-243,Expired,Expired,2013-12-03 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,e29b1fafe0f25445257a4401ef5829523678b7e0ea4f6fe05d2acaa8214c89e0
8233,7701,SuperiorCard,33331581134350,11,2007,-213,Expired,Expired,2013-11-17 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,5b157754771c7718ed70e8e50ff865843d90ff4ff080876b6066c7e16bfc8c05
8234,7702,Distinguish,55559315705436,12,2007,-212,Expired,Expired,2013-07-07 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,4b6307fea3e5b4403e733b51e1562644cb05fa3ca0193520cd0b9187cdc94891
8235,7703,Distinguish,55551075831224,9,2008,-203,Expired,Expired,2014-02-24 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,e6648f0c076ea311a1a1d8ede581d6f03a71c89071ff27ed0e7835d8fc5749d7
8236,7704,Distinguish,55555123101398,2,2007,-222,Expired,Expired,2014-02-05 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,b19472470e2a279bcc280c85fa08425fe2da166f32e60788ec066901343a72a2
8237,7705,Distinguish,55554807087882,8,2006,-228,Expired,Expired,2014-04-06 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,273be642b1f453cc62eabb717c922345f60caf2242f4e9a531715f8a2d6c52d9
8238,7706,ColonialVoice,77775098228891,5,2005,-243,Expired,Expired,2013-10-18 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,a894c33ca23f666cfbe28da465ea187e6491d9217d0230b197b61b704f5e85f0
8239,7707,Distinguish,55556089520899,1,2006,-235,Expired,Expired,2013-04-01 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,2aa5e3cb3de28684b0422712ec9dd8b5d12dff5bcfaf3c1a6d29cc5eac9472ca
8240,7708,Vista,11112700248154,8,2006,-228,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,24cd31a114dde8e0e7a06caa9937a38fc702acebdf1be4b12dbd35db413b3f31
8241,7709,ColonialVoice,77778105287931,12,2005,-236,Expired,Expired,2013-07-18 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,06a2163eab773620ac3ea00ed03b4d18fc8c1d16c03d9ba88480063445ba1347
8242,7710,Distinguish,55552110222854,10,2007,-214,Expired,Expired,2014-05-14 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,8a08cab16b12c661a1fa0a842ce6778e828b1bbde0bff4460d98a0276eb930e1
8243,7711,Vista,11115466682258,10,2006,-226,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,7d351af168cdfef135b54cce8f241fba9c2d3c12ddb717959facd7bac891e26e
8244,7712,Vista,11116683790013,6,2005,-242,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,52af1287106af1ddef879fe20a3b29a6ebc142235f284c6958b57e5aaf87c261
8245,7713,Distinguish,55557091767608,6,2007,-218,Expired,Expired,2013-01-27 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,18a9cf3421f487b221dfd38719adc2f4dfa6f0a90b99330dbe76731290f47354
8246,7714,ColonialVoice,77776116950306,1,2008,-211,Expired,Expired,2012-08-28 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,58813a9b343498ef0e8747908d99371ea4981680081c63e8188bcb7211501471
8247,7715,SuperiorCard,33336187080928,8,2007,-216,Expired,Expired,2013-07-31 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,0d1a65885ab1ef043e5c8f0dcbed52558261e82b5dc6fd28e34ade489412058b
8248,7716,SuperiorCard,33332403296358,4,2005,-244,Expired,Expired,2013-11-12 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,fc90aab34710151b38a72f20e2f8d5f171ebd4e2990886f9b4240579a1d15259
8249,7717,Vista,11111446163148,11,2005,-237,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,85ed365bb0d25ad5e0be273cc59672b7c692ac28d4ab495e8498ebbb27951fdd
8250,7718,Distinguish,55556968053378,9,2006,-227,Expired,Expired,2013-11-07 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,519da8d18e2819a2b6e407373ba52a3381063bf262cb436ae989c658e60ea067
8251,7719,Distinguish,55559423624012,1,2005,-247,Expired,Expired,2014-05-01 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,a41328a224e4120aa960c45cb1d58d335d75bdcbad894f3561b134db66932402
8252,7720,SuperiorCard,33337240885414,4,2008,-208,Expired,Expired,2013-07-24 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,941b4f5b0375303c992efbc7052c708e7686544f1791ed54c04a4ca2672b1307
8253,7721,Distinguish,55553641454746,2,2007,-222,Expired,Expired,2013-11-18 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,e44648287f452b26bfbee98916da6236cbcb9e47ef23e80b97d76c561ad123ab
8254,7722,Distinguish,55553715457449,9,2008,-203,Expired,Expired,2013-10-06 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,e6d292d7f65db2c4c0221c11e323ccddfa7687af656fb428a977e40994fa1c5f
8255,7723,Vista,11115789331462,10,2008,-202,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,291eafb7ec6b9fa4ac1c8261912b446b688b4d039b87ffdb2e1143ca96dd6a7c
8256,7724,SuperiorCard,33333642367694,5,2005,-243,Expired,Expired,2012-02-23 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,9d611a5b369c0f6bbd7f03ae4fc9d8f0c38274d7ee6a0107bf5a80745bc232ea
8257,7725,SuperiorCard,33331683314218,2,2008,-210,Expired,Expired,2013-03-30 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,3da8143da57e3f1851134539b97a4dd2989d0993aeb751b5afcda93524ec2740
8258,7726,SuperiorCard,33334943728320,11,2006,-225,Expired,Expired,2014-03-01 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,3acd9541b3546622bdd88ef8522407bc751d643e539dc771a7cb2a8f7c435b9d
8259,7727,Distinguish,55554376851076,8,2008,-204,Expired,Expired,2014-05-12 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,a523cb0752a8d7f49216b430bf6228ac08642b583c84588f1eea0c72f7fcfe2c
8260,7728,SuperiorCard,33336758070106,3,2005,-245,Expired,Expired,2013-08-17 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,2a466f71322216ee243e25eb83c3b875eee6b6300f96badf5a1ecd6ffeec850e
8261,7729,ColonialVoice,77773851960895,11,2007,-213,Expired,Expired,2013-09-20 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,0793777cab73bfd56bedc6b75642c53eae5e0ca5f591f8f8255bb2f66011268d
8262,7730,ColonialVoice,77774811368548,6,2006,-230,Expired,Expired,2013-09-07 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,33b2db5f6c4d915c8e99c1936eca4015e5df5bbb565414d03a74280e4ed5817c
8263,7731,ColonialVoice,77776053587363,8,2008,-204,Expired,Expired,2014-04-08 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,abf0765c5d2d98cf3ba26f40250da9e66bf57f4bb4ac6bb0e01a4aa4f5d6547e
8264,7732,Vista,11112585838079,1,2006,-235,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,227a2175f14779498f73c6a470278a295ae7dc53948a7a870f1ab29ba47a72d2
8265,7733,ColonialVoice,77778685467261,9,2008,-203,Expired,Expired,2013-11-23 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,19aca946be3423235a46684dac34498645a2e55cc97f6dd8df25556fa171f6ff
8266,7734,Vista,11117116991708,7,2006,-229,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,eced35292e538c227750076541cb6790696f7fc54493d84fe6355e1532491b91
8267,7735,Distinguish,55554065815567,3,2005,-245,Expired,Expired,2012-12-07 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,56e6b711bea05bd4433e77869e40a7b8037accb901cc9974dc4981bd6724bb6a
8268,7736,SuperiorCard,33333266318874,6,2007,-218,Expired,Expired,2013-11-05 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,281486e3e3b486892d04e8fd51e9bcade72a1d392cd14031ab19eae03781a274
8269,7737,ColonialVoice,77771303299849,4,2007,-220,Expired,Expired,2014-04-20 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,92bdc8051941f531b731c0d2afb120e6427ac7c0e8f408803cdf7ac0253aa754
8270,7738,SuperiorCard,33335435821548,1,2008,-211,Expired,Expired,2012-09-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,e4663c9ccbbf3401a05bef8a2a12cdc4fafb018c721e7768bba9e140e4a7dbbf
8271,7739,SuperiorCard,33336226303979,3,2005,-245,Expired,Expired,2013-12-15 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,d6f7d22744dd27ac9085b9af758a998558592d5ac92f972ffee80d46468f4016
8272,7740,SuperiorCard,33331341847264,2,2008,-210,Expired,Expired,2012-11-03 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,0aba07999b7ad4d52a99da51ee8af6c7702b87b30cd26d76cbcc82d4ec55ab15
8273,7741,Distinguish,55559522178060,12,2007,-212,Expired,Expired,2013-03-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,832d8796ffe3edf6fae2908b93065487ebed7127d5e4365986327d3edc80ab6b
8274,7742,Distinguish,55552224837383,3,2007,-221,Expired,Expired,2013-12-23 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,ca84e7df3623b246868d97d45d31be8da689516b83b8ea74d1ddadc1038a2809
8275,7743,Distinguish,55553938866704,1,2006,-235,Expired,Expired,2013-09-22 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,173fd297c94cec7e3a5f7790928e1b1a1ebb9b3c18c60d1b4058ab8bbc8ca842
8276,7744,ColonialVoice,77775387740943,5,2008,-207,Expired,Expired,2013-10-08 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,ef0d330f813c0872f08da4287e59bbf34f60b90523adf87f91a1db1dca3f8a0d
8277,7745,SuperiorCard,33335879401748,9,2006,-227,Expired,Expired,2014-05-10 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,d3d045b9c2dd6e6338d0304cb25e417d903c19e1494005302dc3706c4853c8d6
8278,7746,SuperiorCard,33334632675047,6,2006,-230,Expired,Expired,2014-04-05 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,d3187008cd8c2f5002a17ea22af660e9fe9b025c7c9e5f956c2c07fd3972faef
8279,7747,Distinguish,55557969897369,2,2008,-210,Expired,Expired,2013-04-21 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,03c4764aaeaf35476d7468b495cb57567286f165ac093d5114717e0ca2d65e19
8280,7748,SuperiorCard,33332386172097,12,2007,-212,Expired,Expired,2014-05-08 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,c350c9110a8c4e7bc30048ce2f280618cb00311303c492268bf1f127343ca864
8281,7749,ColonialVoice,77777812767358,11,2008,-201,Expired,Expired,2012-10-26 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,ebf2b21c6eeb8688817b7a966ee8e6aba9ba7c92b3393bdf4d24cdf373428d12
8282,7750,ColonialVoice,77772722539216,10,2008,-202,Expired,Expired,2012-04-11 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,5b331bb3f5f8b7dd1bca3d5af9979d33ae87b170cce7c4094fc2f738a97c0ce0
8283,7751,Distinguish,55557970870787,6,2008,-206,Expired,Expired,2013-12-13 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,25ad6c9b95605b46321ad9b3d3464283059c54b327ef76df22aea6e7bf02ab62
8284,7752,Vista,11118932011869,3,2005,-245,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,bf2ec8fd73f29eb3eac1e98f97272cf67d9f8ef5d3bf417f6cadc913aa2086e4
8285,7753,SuperiorCard,33333552890819,7,2006,-229,Expired,Expired,2013-08-03 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,cdb02a9d17ae9b83d485fb63fcaa7892c104bde52a5c84ee2573b3ddeea08459
8286,7754,Vista,11118037224882,10,2006,-226,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,0beac52837e66f467bfca8c3b2af12244d26061926ce8d9214ab27b046760cb0
8287,7755,Vista,11115424491468,4,2005,-244,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,180c3e64d8a42811b0a5429eefe2052e354a89a1e9f396ec45c9cccfd5819d05
8288,7756,Vista,11114805411021,4,2007,-220,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,ca53708c01934258cd3cc628610a318e96adefd7873f570a5d387868e4c0ff87
8289,7757,ColonialVoice,77773516343871,8,2005,-240,Expired,Expired,2013-09-11 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,71cfa0fb491605f69c56cadf1893a4ed88ac83109980d54f02ae3aef7cb9a148
8290,7758,Distinguish,55556234598841,5,2006,-231,Expired,Expired,2013-08-08 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,13731d4a14dcf37199149fc8f9edd3cdcdbfb2829e4fc25e08214091bc659d66
8291,7759,Vista,11115952931497,10,2008,-202,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,d88edbf55465f483c4b8e2b3f66debcfe7a212f208ec138ae3c2e26cd01cb2ed
8292,7760,Distinguish,55559034766251,11,2007,-213,Expired,Expired,2013-08-03 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,1648700496a47447b3d455b54c76e45014a7a9a1e4f87dc7af66eb69bd4ed192
8293,7761,ColonialVoice,77778830966812,10,2007,-214,Expired,Expired,2013-12-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,35a75b4c4db7e6f66030d013b24cf8fa369c4ffe32aff79f1ea43890e1791f24
8294,7762,ColonialVoice,77771290942488,9,2006,-227,Expired,Expired,2014-04-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,5adeec9398b92b75dc7a882224e6120121d656395df4f38f1c32e930ded7d1ef
8295,7763,Vista,11112339174196,9,2008,-203,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,e1a10715111ff18f4afa4de515620dcffb8ed7b5fa7643a6f0bd08b56ebacce7
8296,7764,SuperiorCard,33338223066516,9,2007,-215,Expired,Expired,2013-07-31 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,f250b8e2919b5c0f6f5d7858663cd7bf565b8b46b64197bc5ce1f69a44477de3
8297,7765,Distinguish,55552717214701,8,2008,-204,Expired,Expired,2014-03-19 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,1decd17d119a732791b4eab2415af23666d1ea4162df5756471d36f87eaa1048
8298,7766,ColonialVoice,77775999004520,12,2008,-200,Expired,Expired,2011-12-31 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,9a05ef1f4f216beded45d1e9465ce698f487b28cd628df1bb236ae72cbac1117
8299,7767,Distinguish,55551010414808,7,2007,-217,Expired,Expired,2013-05-27 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,c9afb713a8e58d63613576057b5fec23231873ef740d00f2c623c0f19f2673c8
8300,7768,Distinguish,55556311193145,5,2007,-219,Expired,Expired,2014-03-06 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,0c10bd305dd12db4fea0c1b4e4ea13c356d32307dd0fb9f8a6d64f5b30ea4b38
8301,7769,SuperiorCard,33334784222538,12,2008,-200,Expired,Expired,2008-12-02 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,45ab982a639e7ffa9b505a7900db5a7a37638ff00d076802bee4287601d5bac9
8302,7770,Distinguish,55558713409425,2,2008,-210,Expired,Expired,2013-07-23 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,0f09ea6c741a1edc6f812fb10808d8a6b393854ef93805a28d66defa14d62d65
8303,7771,Distinguish,55555112837934,1,2007,-223,Expired,Expired,2014-03-15 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,a17bdd07f30ffb8754fe07bed31a41ba84daecf0f860f6dee554ca13f4be5dee
8304,7772,Distinguish,55558802154276,8,2006,-228,Expired,Expired,2013-10-11 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,92f3ef4e189217e0af2f06f8baa59cfe6e59786bae4cc8c2423e95bbbbc81771
8305,7773,Vista,11116976925008,12,2007,-212,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,602850ed726c7f7cfbd3f2c2dbae85312775bb248ce36443ac8869fa27443f04
8306,7774,SuperiorCard,33339775263104,7,2005,-241,Expired,Expired,2014-03-08 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,cc41c2890e99cfcd0f47507f0e62caaccbc6a37f1a9aaf8ad2bc498871a91904
8307,7775,Distinguish,55556052298999,3,2006,-233,Expired,Expired,2013-07-20 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,3ecc89ce649bfc60987f0f2d912cf2ad8dcda14b6a077e07cbae2dc794e984a0
8308,7776,ColonialVoice,77775002766448,12,2005,-236,Expired,Expired,2014-02-13 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,1c5b46a8df71a9632188aeabf1f60b33161247260c2bd65b3221a1327f7efec2
8309,7777,ColonialVoice,77774674143322,5,2005,-243,Expired,Expired,2013-06-30 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,306296eb3bb121e9f1eaf9d06e597afab19cae5f3e72142528314a98e9729e2b
8310,7778,SuperiorCard,33331021816772,1,2006,-235,Expired,Expired,2012-08-28 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,94cd19e588822701b824de21fa48c53d5d9f8aec8ad23dfdd3e8ceee2c8ae737
8311,7779,Vista,11119451841699,12,2007,-212,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,6f60c6a83c9cc61e0f021f8f23495fd88b1d7b0e75ccfcf10e4abdf2278a4ca1
8312,7780,Vista,11115851086421,9,2007,-215,Expired,Expired,2025-08-11 11:01:22.820,True,2006-06-23,9999-12-31 00:00:00,d2459823bd483b691150a536e3907b3d093c606d750d3ed6063051b2a0398dce
8313,7781,Distinguish,55555056478118,8,2005,-240,Expired,Expired,2012-11-09 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,390192195548c2fa43a6b0cb756a08aea53abbb84ce71bfba20b97a3843cbbed
